cue,target,strength
SALES,REPRESENTATIVE,0.048
SALES,CAR,0.041
SALES,MAN,0.041
SALES,CLERK,0.034
SALES,COMMISSION,0.034
SALES,MARKET,0.034
SALES,PERSON,0.034
SALES,RETAIL,0.034
SALES,BUSINESS,0.027
SALES,PITCH,0.027
SALES,SHOPPING,0.027
SALES,BUY,0.02
SALES,SALESMAN,0.02
SALES,ASSOCIATE,0.014
SALES,CHEAP,0.014
SALES,DEAL,0.014
SALES,FIGURES,0.014
SALES,PRICE,0.014
SALES,PROFIT,0.014
SALES,PUSHY,0.014
SALES,RETURNS,0.014
SALES,SHIPPING,0.014
SALES,TAX,0.014
SALESMAN,CAR,0.107
SALESMAN,ANNOYING,0.1
SALESMAN,SALE,0.053
SALESMAN,STORE,0.047
SALESMAN,PRODUCT,0.04
SALESMAN,SHOE,0.04
SALESMAN,MONEY,0.033
SALESMAN,PUSHY,0.033
SALESMAN,ANNOY,0.02
SALESMAN,BRIEFCASE,0.02
SALESMAN,BUY,0.02
SALESMAN,COMMISSION,0.02
SALESMAN,CON,0.02
SALESMAN,CROOK,0.02
SALESMAN,PITCH,0.02
SALESMAN,SELL,0.02
SALESMAN,VACUUM,0.02
SALESMAN,BOTHER,0.013
SALESMAN,DEATH,0.013
SALESMAN,DOOR,0.013
SALESMAN,LIAR,0.013
SALESMAN,MARKETING,0.013
SALESMAN,PERSON,0.013
SALESMAN,PERSUADE,0.013
SALESMAN,REPRESENTATIVE,0.013
SALESMAN,SELLER,0.013
SALESMAN,SLICK,0.013
SALESMAN,THIEF,0.013
SALIVA,SPIT,0.365
SALIVA,MOUTH,0.262
SALIVA,DOG,0.048
SALIVA,PAVLOV,0.048
SALIVA,DROOL,0.032
SALIVA,WET,0.032
SALIVA,THIRST,0.024
SALIVA,GLANDS,0.016
SALIVA,SWALLOW,0.016
SALIVA,WATER,0.016
SALMON,FISH,0.746
SALMON,PINK,0.032
SALMON,SPAWN,0.024
SALMON,TUNA,0.024
SALMON,STREAM,0.016
SALMON,UPSTREAM,0.016
SALOON,BAR,0.571
SALOON,HAIR,0.15
SALOON,BEER,0.114
SALOON,COWBOY,0.036
SALOON,DRINK,0.036
SALOON,WEST,0.021
SALOON,PUB,0.014
SALT,PEPPER,0.701
SALT,WATER,0.063
SALT,SUGAR,0.047
SALT,BITTER,0.024
SALT,FOOD,0.024
SALT,OCEAN,0.024
SALT,SPICE,0.016
SALTINE,CRACKER,0.836
SALTINE,SALT,0.048
SALTINE,DRY,0.021
SALUTE,FLAG,0.229
SALUTE,ARMY,0.146
SALUTE,SOLDIER,0.083
SALUTE,MILITARY,0.076
SALUTE,RESPECT,0.062
SALUTE,HONOR,0.049
SALUTE,ACKNOWLEDGE,0.028
SALUTE,WAVE,0.028
SALUTE,PLEDGE,0.021
SALUTE,PRIDE,0.021
SALUTE,AMERICA,0.014
SALUTE,DRINKING,0.014
SALUTE,GENERAL,0.014
SALUTE,GREET,0.014
SALUTE,HAND SHAKE,0.014
SAME,DIFFERENT,0.534
SAME,ALIKE,0.142
SAME,SIMILAR,0.047
SAME,EXACT,0.041
SAME,LIKE,0.027
SAME,EQUAL,0.02
SAME,OPPOSITE,0.02
SAME,THING,0.014
SAMPLE,EXAMPLE,0.19
SAMPLE,TEST,0.129
SAMPLE,FREE,0.088
SAMPLE,FOOD,0.075
SAMPLE,TASTE,0.075
SAMPLE,PIECE,0.034
SAMPLE,POPULATION,0.034
SAMPLE,TRY,0.034
SAMPLE,PART,0.027
SAMPLE,SURVEY,0.027
SAMPLE,SMALL,0.02
SAMPLE,FEW,0.014
SAMPLE,MEAN,0.014
SAMPLE,QUESTION,0.014
SAMPLE,SIZE,0.014
SAMPLE,SPACE,0.014
SAND,BEACH,0.717
SAND,CASTLE,0.039
SAND,DIRT,0.031
SAND,DUNE,0.016
SAND,OCEAN,0.016
SAND,PEBBLE,0.016
SAND,SEA,0.016
SAND,STORM,0.016
SANDALS,SHOES,0.351
SANDALS,FEET,0.209
SANDALS,BEACH,0.135
SANDALS,SUMMER,0.061
SANDALS,TOES,0.047
SANDALS,COMFORT,0.034
SANDALS,SAND,0.02
SANDALS,HOT,0.014
SANDALS,LEATHER,0.014
SANDALS,STRAPS,0.014
SANDALS,VACATION,0.014
SANDPAPER,ROUGH,0.429
SANDPAPER,WOOD,0.171
SANDPAPER,SCRATCH,0.057
SANDPAPER,SMOOTH,0.043
SANDPAPER,GRIT,0.036
SANDPAPER,COARSE,0.021
SANDPAPER,FILE,0.021
SANDPAPER,HARSH,0.021
SANDPAPER,SAW,0.021
SANDPAPER,WALL,0.021
SANDPAPER,FINISH,0.014
SANDWICH,FOOD,0.207
SANDWICH,HAM,0.111
SANDWICH,BREAD,0.067
SANDWICH,EAT,0.059
SANDWICH,TURKEY,0.059
SANDWICH,BOLOGNA,0.052
SANDWICH,SUBMARINE,0.038
SANDWICH,HUNGRY,0.037
SANDWICH,LETTUCE,0.037
SANDWICH,LUNCH,0.037
SANDWICH,PEANUT BUTTER,0.03
SANDWICH,TUNA,0.03
SANDWICH,MEAL,0.022
SANDWICH,MEAT,0.022
SANDWICH,CHICKEN,0.015
SANDWICH,CHIPS,0.015
SANDWICH,COLD,0.015
SANDWICH,SOUP,0.015
SANTA,CLAUS,0.48
SANTA,CHRISTMAS,0.276
SANTA,PRESENTS,0.026
SANTA,GIFTS,0.02
SANTA,SANTA BARBARA,0.02
SANTA,LIE,0.013
SANTA,TOYS,0.013
SAP,TREE,0.703
SAP,MAPLE,0.027
SAP,STICKY,0.027
SAP,PINE,0.02
SAP,SYRUP,0.014
SAPPHIRE,BLUE,0.162
SAPPHIRE,STONE,0.162
SAPPHIRE,DIAMOND,0.135
SAPPHIRE,GEM,0.115
SAPPHIRE,RING,0.115
SAPPHIRE,RUBY,0.095
SAPPHIRE,JEWEL,0.047
SAPPHIRE,JEWELRY,0.027
SAPPHIRE,RED,0.02
SAPPHIRE,BIRTHSTONE,0.014
SAPPHIRE,EMERALD,0.014
SAPPHIRE,PRETTY,0.014
SARDINE,FISH,0.452
SARDINE,CAN,0.214
SARDINE,SMELL,0.071
SARDINE,FOOD,0.024
SARDINE,SALT,0.024
SARDINE,EAT,0.016
SARDINE,KIPPER,0.016
SARDINE,SILVER,0.016
SARDINE,SLIMY,0.016
SARDINE,STINK,0.016
SARDINE,SWIM,0.016
SASH,BELT,0.135
SASH,RIBBON,0.088
SASH,SCARF,0.074
SASH,CLOTHES,0.061
SASH,DRESS,0.061
SASH,CLOTH,0.027
SASH,HONOR,0.02
SASH,BAG,0.014
SASH,BOW,0.014
SASH,CAPE,0.014
SASH,DANCE,0.014
SASH,HIDE,0.014
SASH,PURSE,0.014
SASH,QUEEN,0.014
SASH,RED,0.014
SASH,ROBE,0.014
SASH,SHOULDER,0.014
SASH,SILK,0.014
SASH,TUXEDO,0.014
SATAN,DEVIL,0.467
SATAN,EVIL,0.099
SATAN,HELL,0.059
SATAN,GOD,0.039
SATAN,BAD,0.033
SATAN,SILK,0.02
SATAN,666,0.013
SATAN,LUCIFER,0.013
SATAN,RED,0.013
SATAN,RELIGION,0.013
SATAN,SHEETS,0.013
SATAN,SMOOTH,0.013
SATIN,SILK,0.348
SATIN,SHEETS,0.203
SATIN,DEVIL,0.072
SATIN,SMOOTH,0.072
SATIN,LACE,0.058
SATIN,CLOTH,0.051
SATIN,SOFT,0.029
SATIN,GOD,0.014
SATIN,SHEEN,0.014
SATURN,CAR,0.281
SATURN,PLANET,0.268
SATURN,MARS,0.072
SATURN,JUPITER,0.065
SATURN,VENUS,0.065
SATURN,RINGS,0.052
SATURN,URANUS,0.052
SATURN,MOON,0.026
SATURN,EARTH,0.02
SATURN,PLUTO,0.013
SATURN,STAR,0.013
SAUCE,SPAGHETTI,0.468
SAUCE,TOMATO,0.144
SAUCE,GRAVY,0.05
SAUCE,BARBECUE,0.036
SAUCE,FOOD,0.022
SAUCE,MEAT,0.022
SAUCE,PIZZA,0.022
SAUCE,RED,0.022
SAUCE,APPLE,0.014
SAUCE,BERNAISE,0.014
SAUCE,COVER,0.014
SAUCE,CRAM,0.014
SAUCE,MUSHROOM,0.014
SAUCE,PAN,0.014
SAUCE,SALSA,0.014
SAUCER,CUP,0.527
SAUCER,FLYING,0.115
SAUCER,MILK,0.091
SAUCER,PLATE,0.067
SAUCER,DISH,0.048
SAUCER,BOWL,0.03
SAUCER,UFO,0.024
SAUCER,COFFEE,0.018
SAUCER,TEA,0.018
SAUCER,PAN,0.012
SAUCER,SPACE,0.012
SAUSAGE,BREAKFAST,0.092
SAUSAGE,MEAT,0.086
SAUSAGE,FOOD,0.066
SAUSAGE,LINK,0.059
SAUSAGE,PORK,0.053
SAUSAGE,BACON,0.046
SAUSAGE,PIG,0.046
SAUSAGE,BISCUIT,0.033
SAUSAGE,EAT,0.033
SAUSAGE,ITALIAN,0.033
SAUSAGE,EGGS,0.026
SAUSAGE,GROSS,0.026
SAUSAGE,FATTENING,0.02
SAUSAGE,KIELBASA,0.02
SAUSAGE,PEPPER,0.02
SAUSAGE,PEPPERONI,0.02
SAUSAGE,WIENER,0.02
SAUSAGE,GERMAN,0.013
SAUSAGE,HAM,0.013
SAUSAGE,HOT DOGS,0.013
SAUSAGE,NASTY,0.013
SAUSAGE,PIZZA,0.013
SAUSAGE,POLISH,0.013
SAUSAGE,SANDWICH,0.013
SAUSAGE,VIENNA,0.013
SAVE,KEEP,0.239
SAVE,MONEY,0.156
SAVE,SPEND,0.061
SAVE,HELP,0.044
SAVE,LIFE,0.044
SAVE,RESCUE,0.044
SAVE,RETAIN,0.039
